설치장소명,설치장소상세,설치시설구분,소재지도로명주소,위도,경도
남원읍사무소,CCTV 폴대,교통시설,제주특별자치도 서귀포시 남원읍 태위로 695,33.279918,126.720179
서귀포 자기주도학습지원센터,건물외벽,교통시설,제주특별자치도 서귀포시 동홍중앙로7번길 19,33.251266,126.570292
성산일출봉,화장실 외벽,교통시설,제주특별자치도 서귀포시 성산읍 일출로 284-6,33.461341,126.935661
보목하수처리장,건물외벽-동,교통시설,제주특별자치도 서귀포시 보목로64번길 155,33.242749,126.591595
보목하수처리장,현관 비가림 위-서,교통시설,제주특별자치도 서귀포시 보목로64번길 155,33.242845,126.591338
안덕면사무소,아크릴외벽기둥-남,교통시설,제주특별자치도 서귀포시 안덕면 화순서서로 74,33.257496,126.330891
안덕면사무소,아크릴외벽기둥-북,교통시설,제주특별자치도 서귀포시 안덕면 화순서서로 74,33.257496,126.330891
한우명품관,건물외벽,교통시설,제주특별자치도 서귀포시 일주동로 8421,33.257257,126.588521
GS25 대포점,전기인입 IP주,교통시설,제주특별자치도 서귀포시 이어도로 129,33.239244,126.436472
중문랜드,현수막 지지대,교통시설,제주특별자치도 서귀포시 소보리당로164번길 62,33.264255,126.385356
대정감협 인근 공영주차장,전기인입 IP 주,교통시설,제주특별자치도 서귀포시 대정읍 하모리 964-2,33.222909,126.251956
퐁낭 작은 도서관 앞 공영주차장,전기인입 IP 주,교통시설,제주특별자치도 서귀포시 동홍동 470-1,33.255512,126.572189
서귀포성당 뒤 주차장,한전주,교통시설,제주특별자치도 서귀포시 서귀동 600-3,33.243646,126.562869
우리은행 서귀포점 인근 공영주차장,1층 주차장 천정,교통시설,제주특별자치도 서귀포시 서귀동 291-2,33.250041,126.562044
성산읍 공영주차장,전기인입 IP주,교통시설,제주특별자치도 서귀포시 성산읍 고성리 327-1,33.448613,126.916977
안덕우체국 뒤 주차장,전기인입 IP주,교통시설,제주특별자치도 서귀포시 안덕면 화순리 1072,33.24616,126.335477
회수사거리,KT IP주,교통시설,제주특별자치도 서귀포시 회수동 788-2,33.263175,126.442645
서귀포시 자기주도학습지원센터,1층 로비,관공서,제주특별자치도 서귀포시 동홍중앙로7번길 19,33.251266,126.570292
서귀포시 자기주도학습지원센터,2층 로비,관공서,제주특별자치도 서귀포시 동홍중앙로7번길 19,33.251266,126.570292
제주세계자연유산센터,옥상 주차장방향,관광,제주특별자치도 제주시 조천읍 선교로 569-36,33.4570307,126.7142999
제주세계자연유산센터,옥상 거문오름탐방로 방향,관광,제주특별자치도 제주시 조천읍 선교로 569-36,33.4570307,126.7142999
제주세계자연유산센터,옥상 탐방안내소 방향,관광,제주특별자치도 제주시 조천읍 선교로 569-36,33.4570307,126.7142999
갓전시관,1F 천정,관광,제주특별자치도 제주시 조천읍 남조로 1904,33.4371586,126.6707855
갓전시관,2F 천정,관광,제주특별자치도 제주시 조천읍 남조로 1904,33.4371586,126.6707855
메이즈랜드,출입구 좌측돌하르방 뒤 주차장방향,관광,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.488752,126.8009299
